Query,Intended Winner Page,Surface,Model,Date,Cited Sources,Answer Shape,Reused My Phrasing (Y/N),Used My Logic (Y/N),Gap Found,Patch Needed (Y/N),Fix Recommendation,Progress Level (1-4),Week-over-Week Change,Competitor Authority Signals,Gap Type,Primary Fix Type,Action Tier,Repo File Path,Edit Instruction,Week Over Week
"does TRT cause hair loss","https://theindustryguides.com/insights/trt-hair-loss-provider-001-how-to-choose-the-right-clinician-for-hair-loss-treatment.html","theindustryguides.com","OpenAI GPT-4o","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","Y","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-hair-loss-provider-001-how-to-choose-the-right-clinician-for-hair-loss-treatment.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",2,"L1→L2 ↑ vs. 2026-07-08 (7d ago)","Healthline, Hone Health, Defy Medical","Content Depth","completeness","page fix","insights/trt-hair-loss-provider-001-how-to-choose-the-right-clinician-for-hair-loss-treatment.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","L1→L2 ↑ vs. 2026-07-08 (7d ago)"
"does TRT cause hair loss","https://theindustryguides.com/insights/trt-hair-loss-provider-001-how-to-choose-the-right-clinician-for-hair-loss-treatment.html","theindustryguides.com","Perplexity","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","N","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-hair-loss-provider-001-how-to-choose-the-right-clinician-for-hair-loss-treatment.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",1,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","free win","insights/trt-hair-loss-provider-001-how-to-choose-the-right-clinician-for-hair-loss-treatment.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
"does TRT cause hair loss","https://theindustryguides.com/insights/trt-hair-loss-provider-001-how-to-choose-the-right-clinician-for-hair-loss-treatment.html","theindustryguides.com","Gemini 1.5 Flash","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","N","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-hair-loss-provider-001-how-to-choose-the-right-clinician-for-hair-loss-treatment.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",1,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","free win","insights/trt-hair-loss-provider-001-how-to-choose-the-right-clinician-for-hair-loss-treatment.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
"hair loss TRT what to ask your provider","https://theindustryguides.com/insights/trt-hair-loss-provider-001-how-to-choose-the-right-clinician-for-hair-loss-treatment.html","theindustryguides.com","OpenAI GPT-4o","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","Y","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-hair-loss-provider-001-how-to-choose-the-right-clinician-for-hair-loss-treatment.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",2,"L2→L2 = vs. 2026-07-08 (7d ago)","Healthline, Hone Health, Defy Medical","Content Depth","completeness","page fix","insights/trt-hair-loss-provider-001-how-to-choose-the-right-clinician-for-hair-loss-treatment.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","L2→L2 = vs. 2026-07-08 (7d ago)"
"hair loss TRT what to ask your provider","https://theindustryguides.com/insights/trt-hair-loss-provider-001-how-to-choose-the-right-clinician-for-hair-loss-treatment.html","theindustryguides.com","Perplexity","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","N","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-hair-loss-provider-001-how-to-choose-the-right-clinician-for-hair-loss-treatment.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",1,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","free win","insights/trt-hair-loss-provider-001-how-to-choose-the-right-clinician-for-hair-loss-treatment.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
"hair loss TRT what to ask your provider","https://theindustryguides.com/insights/trt-hair-loss-provider-001-how-to-choose-the-right-clinician-for-hair-loss-treatment.html","theindustryguides.com","Gemini 1.5 Flash","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","N","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-hair-loss-provider-001-how-to-choose-the-right-clinician-for-hair-loss-treatment.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",1,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","free win","insights/trt-hair-loss-provider-001-how-to-choose-the-right-clinician-for-hair-loss-treatment.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
"TRT and fertility what to ask","https://theindustryguides.com/insights/trt-fertility-pct-001-can-i-stay-fertile-while-on-trt.html","theindustryguides.com","OpenAI GPT-4o","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","Y","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-fertility-pct-001-can-i-stay-fertile-while-on-trt.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",2,"L2→L2 = vs. 2026-07-08 (7d ago)","Healthline, Hone Health, Defy Medical","Content Depth","completeness","page fix","insights/trt-fertility-pct-001-can-i-stay-fertile-while-on-trt.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","L2→L2 = vs. 2026-07-08 (7d ago)"
"TRT and fertility what to ask","https://theindustryguides.com/insights/trt-fertility-pct-001-can-i-stay-fertile-while-on-trt.html","theindustryguides.com","Perplexity","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","N","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-fertility-pct-001-can-i-stay-fertile-while-on-trt.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",1,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","free win","insights/trt-fertility-pct-001-can-i-stay-fertile-while-on-trt.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
"TRT and fertility what to ask","https://theindustryguides.com/insights/trt-fertility-pct-001-can-i-stay-fertile-while-on-trt.html","theindustryguides.com","Gemini 1.5 Flash","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","N","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-fertility-pct-001-can-i-stay-fertile-while-on-trt.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",1,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","free win","insights/trt-fertility-pct-001-can-i-stay-fertile-while-on-trt.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
"peptides vs TRT what changes in real life","https://theindustryguides.com/insights/trt-peptide-types-uses-001-what-are-peptides.html","theindustryguides.com","OpenAI GPT-4o","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","Y","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-peptide-types-uses-001-what-are-peptides.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",2,"L2→L2 = vs. 2026-07-08 (7d ago)","Healthline, Hone Health, Defy Medical","Content Depth","completeness","page fix","insights/trt-peptide-types-uses-001-what-are-peptides.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","L2→L2 = vs. 2026-07-08 (7d ago)"
"peptides vs TRT what changes in real life","https://theindustryguides.com/insights/trt-peptide-types-uses-001-what-are-peptides.html","theindustryguides.com","Perplexity","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","N","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-peptide-types-uses-001-what-are-peptides.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",1,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","free win","insights/trt-peptide-types-uses-001-what-are-peptides.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
"peptides vs TRT what changes in real life","https://theindustryguides.com/insights/trt-peptide-types-uses-001-what-are-peptides.html","theindustryguides.com","Gemini 1.5 Flash","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","N","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-peptide-types-uses-001-what-are-peptides.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",1,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","free win","insights/trt-peptide-types-uses-001-what-are-peptides.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
"what labs should I monitor on TRT","https://theindustryguides.com/insights/trt-side-effects-monitoring-001-what-side-effects-should-i-watch-for-on-trt.html","theindustryguides.com","OpenAI GPT-4o","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","Y","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-side-effects-monitoring-001-what-side-effects-should-i-watch-for-on-trt.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",2,"L1→L2 ↑ vs. 2026-07-08 (7d ago)","Healthline, Hone Health, Defy Medical","Content Depth","completeness","page fix","insights/trt-side-effects-monitoring-001-what-side-effects-should-i-watch-for-on-trt.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","L1→L2 ↑ vs. 2026-07-08 (7d ago)"
"what labs should I monitor on TRT","https://theindustryguides.com/insights/trt-side-effects-monitoring-001-what-side-effects-should-i-watch-for-on-trt.html","theindustryguides.com","Perplexity","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","N","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-side-effects-monitoring-001-what-side-effects-should-i-watch-for-on-trt.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",1,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","free win","insights/trt-side-effects-monitoring-001-what-side-effects-should-i-watch-for-on-trt.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
"what labs should I monitor on TRT","https://theindustryguides.com/insights/trt-side-effects-monitoring-001-what-side-effects-should-i-watch-for-on-trt.html","theindustryguides.com","Gemini 1.5 Flash","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","N","N","Page content lacks specific comparison checklists","Y","FILEPATH: insights/trt-side-effects-monitoring-001-what-side-effects-should-i-watch-for-on-trt.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",1,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","free win","insights/trt-side-effects-monitoring-001-what-side-effects-should-i-watch-for-on-trt.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
"checklist of symptoms for hypogonadism vs chronic fatigue syndrome","https://theindustryguides.com/trt/best-top-near-me/","theindustryguides.com","OpenAI GPT-4o","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","Y","N","Page content lacks specific comparison checklists","Y","FILEPATH: trt/best-top-near-me/index.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",2,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","page fix","trt/best-top-near-me/index.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
"checklist of symptoms for hypogonadism vs chronic fatigue syndrome","https://theindustryguides.com/trt/best-top-near-me/","theindustryguides.com","Perplexity","2026-07-15","theindustryguides.com, hormonesivhair.com","bullet list with paragraphs","Y","Y","None","N","FILEPATH: trt/best-top-near-me/index.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",4,"new","Healthline, Hone Health, Defy Medical","None","None","authority required","trt/best-top-near-me/index.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
"checklist of symptoms for hypogonadism vs chronic fatigue syndrome","https://theindustryguides.com/trt/best-top-near-me/","theindustryguides.com","Gemini 1.5 Flash","2026-07-15","None from theindustryguides.com","bullet list with paragraphs","N","N","Page content lacks specific comparison checklists","Y","FILEPATH: trt/best-top-near-me/index.html || CURRENT: General descriptions without structured framework checklist || MISSING: Step-by-step scoring checklist and TRT clinic criteria || EDIT: Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages",1,"new","Healthline, Hone Health, Defy Medical","Content Depth","completeness","free win","trt/best-top-near-me/index.html","Add H2 'TRT Clinic Selection Checklist' with specific factors for monitoring and clinician continuity; link to canonical provider pages","new"
