"Query","Intended Winner Page","Surface","Model","Date","Cited Sources","Answer Shape","Reused My Phrasing (Y/N)","Used My Logic (Y/N)","Gap Found","Patch Needed (Y/N)","Fix Recommendation","Progress Level (1-4)","Week-over-Week Change","Competitor Authority Signals","Gap Type","Primary Fix Type","Action Tier","Repo File Path","Edit Instruction","Week Over Week"
"best TRT clinic near me","Best TRT Clinic Near Me","theindustryguides.com","OpenAI GPT-4o","2026-08-05","","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'best TRT clinic near me'.","Y","FILEPATH: trt/best-top-near-me/index.html || CURRENT: H2 headings cover general Best TRT Clinic Near Me guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'best TRT clinic near me' || EDIT: Add a dedicated H2 section titled 'Best TRT Clinic Near Me: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","L1 (unchanged vs. 2026-07-29)","N/A","medium incumbent","structure","free win","insights/trt-002.html","FILEPATH: trt/best-top-near-me/index.html || CURRENT: H2 headings cover general Best TRT Clinic Near Me guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'best TRT clinic near me' || EDIT: Add a dedicated H2 section titled 'Best TRT Clinic Near Me: Direct Comparison' with a 5-point evaluation table directly under the main H1.","L1 (unchanged vs. 2026-07-29)"
"TRT side effects what to watch for","TRT Side Effects: What to Watch For","theindustryguides.com","OpenAI GPT-4o","2026-08-05","","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'TRT side effects what to watch for'.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general TRT Side Effects: What to Watch For guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'TRT side effects what to watch for' || EDIT: Add a dedicated H2 section titled 'TRT Side Effects: What to Watch For: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","new","N/A","medium incumbent","structure","free win","insights/trt-002.html","FILEPATH: trt/index.html || CURRENT: H2 headings cover general TRT Side Effects: What to Watch For guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'TRT side effects what to watch for' || EDIT: Add a dedicated H2 section titled 'TRT Side Effects: What to Watch For: Direct Comparison' with a 5-point evaluation table directly under the main H1.","new"
"TRT side effects what to watch for","TRT Side Effects: What to Watch For","theindustryguides.com","Perplexity","2026-08-05","https://trtplug.com, https://thetrtsource.com","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'TRT side effects what to watch for'.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general TRT Side Effects: What to Watch For guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'TRT side effects what to watch for' || EDIT: Add a dedicated H2 section titled 'TRT Side Effects: What to Watch For: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","new","trtplug.com (Domain Rating 42, 18 citations)","medium incumbent","clarity","page fix","insights/trt-002.html","FILEPATH: trt/index.html || CURRENT: H2 headings cover general TRT Side Effects: What to Watch For guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'TRT side effects what to watch for' || EDIT: Add a dedicated H2 section titled 'TRT Side Effects: What to Watch For: Direct Comparison' with a 5-point evaluation table directly under the main H1.","new"
"TRT side effects what to watch for","TRT Side Effects: What to Watch For","theindustryguides.com","Gemini 1.5 Flash","2026-08-05","","bulleted list with recommendations","Y","Y","Missing concise direct answer block and structured decision framework for 'TRT side effects what to watch for'.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general TRT Side Effects: What to Watch For guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'TRT side effects what to watch for' || EDIT: Add a dedicated H2 section titled 'TRT Side Effects: What to Watch For: Direct Comparison' with a 5-point evaluation table directly under the main H1.","2","new","N/A","medium incumbent","structure","page fix","insights/trt-002.html","FILEPATH: trt/index.html || CURRENT: H2 headings cover general TRT Side Effects: What to Watch For guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'TRT side effects what to watch for' || EDIT: Add a dedicated H2 section titled 'TRT Side Effects: What to Watch For: Direct Comparison' with a 5-point evaluation table directly under the main H1.","new"
"what to ask at a TRT consultation","What to Ask at a TRT Consultation","theindustryguides.com","OpenAI GPT-4o","2026-08-05","","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'what to ask at a TRT consultation'.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general What to Ask at a TRT Consultation guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'what to ask at a TRT consultation' || EDIT: Add a dedicated H2 section titled 'What to Ask at a TRT Consultation: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","new","N/A","medium incumbent","structure","free win","insights/trt-002.html","FILEPATH: trt/index.html || CURRENT: H2 headings cover general What to Ask at a TRT Consultation guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'what to ask at a TRT consultation' || EDIT: Add a dedicated H2 section titled 'What to Ask at a TRT Consultation: Direct Comparison' with a 5-point evaluation table directly under the main H1.","new"
"what to ask at a TRT consultation","What to Ask at a TRT Consultation","theindustryguides.com","Perplexity","2026-08-05","https://trtplug.com, https://thetrtsource.com","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'what to ask at a TRT consultation'.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general What to Ask at a TRT Consultation guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'what to ask at a TRT consultation' || EDIT: Add a dedicated H2 section titled 'What to Ask at a TRT Consultation: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","new","trtplug.com (Domain Rating 42, 18 citations)","medium incumbent","clarity","page fix","insights/trt-002.html","FILEPATH: trt/index.html || CURRENT: H2 headings cover general What to Ask at a TRT Consultation guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'what to ask at a TRT consultation' || EDIT: Add a dedicated H2 section titled 'What to Ask at a TRT Consultation: Direct Comparison' with a 5-point evaluation table directly under the main H1.","new"
"what to ask at a TRT consultation","What to Ask at a TRT Consultation","theindustryguides.com","Gemini 1.5 Flash","2026-08-05","","bulleted list with recommendations","Y","Y","Missing concise direct answer block and structured decision framework for 'what to ask at a TRT consultation'.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general What to Ask at a TRT Consultation guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'what to ask at a TRT consultation' || EDIT: Add a dedicated H2 section titled 'What to Ask at a TRT Consultation: Direct Comparison' with a 5-point evaluation table directly under the main H1.","2","new","N/A","medium incumbent","structure","page fix","insights/trt-002.html","FILEPATH: trt/index.html || CURRENT: H2 headings cover general What to Ask at a TRT Consultation guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'what to ask at a TRT consultation' || EDIT: Add a dedicated H2 section titled 'What to Ask at a TRT Consultation: Direct Comparison' with a 5-point evaluation table directly under the main H1.","new"
"what to look for in a TRT clinic","What to Look for in a TRT Clinic","theindustryguides.com","OpenAI GPT-4o","2026-08-05","","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'what to look for in a TRT clinic'.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general What to Look for in a TRT Clinic guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'what to look for in a TRT clinic' || EDIT: Add a dedicated H2 section titled 'What to Look for in a TRT Clinic: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","new","N/A","medium incumbent","structure","free win","insights/trt-002.html","FILEPATH: trt/index.html || CURRENT: H2 headings cover general What to Look for in a TRT Clinic guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'what to look for in a TRT clinic' || EDIT: Add a dedicated H2 section titled 'What to Look for in a TRT Clinic: Direct Comparison' with a 5-point evaluation table directly under the main H1.","new"
"what to look for in a TRT clinic","What to Look for in a TRT Clinic","theindustryguides.com","Perplexity","2026-08-05","https://trtplug.com, https://thetrtsource.com","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'what to look for in a TRT clinic'.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general What to Look for in a TRT Clinic guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'what to look for in a TRT clinic' || EDIT: Add a dedicated H2 section titled 'What to Look for in a TRT Clinic: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","new","trtplug.com (Domain Rating 42, 18 citations)","medium incumbent","clarity","page fix","insights/trt-002.html","FILEPATH: trt/index.html || CURRENT: H2 headings cover general What to Look for in a TRT Clinic guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'what to look for in a TRT clinic' || EDIT: Add a dedicated H2 section titled 'What to Look for in a TRT Clinic: Direct Comparison' with a 5-point evaluation table directly under the main H1.","new"
"what to look for in a TRT clinic","What to Look for in a TRT Clinic","theindustryguides.com","Gemini 1.5 Flash","2026-08-05","","bulleted list with recommendations","Y","Y","Missing concise direct answer block and structured decision framework for 'what to look for in a TRT clinic'.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general What to Look for in a TRT Clinic guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'what to look for in a TRT clinic' || EDIT: Add a dedicated H2 section titled 'What to Look for in a TRT Clinic: Direct Comparison' with a 5-point evaluation table directly under the main H1.","2","new","N/A","medium incumbent","structure","page fix","insights/trt-002.html","FILEPATH: trt/index.html || CURRENT: H2 headings cover general What to Look for in a TRT Clinic guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'what to look for in a TRT clinic' || EDIT: Add a dedicated H2 section titled 'What to Look for in a TRT Clinic: Direct Comparison' with a 5-point evaluation table directly under the main H1.","new"
"what to verify before choosing a TRT clinic","What to Verify Before Choosing a TRT Clinic","theindustryguides.com","OpenAI GPT-4o","2026-08-05","","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'what to verify before choosing a TRT clinic'.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general What to Verify Before Choosing a TRT Clinic guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'what to verify before choosing a TRT clinic' || EDIT: Add a dedicated H2 section titled 'What to Verify Before Choosing a TRT Clinic: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","new","N/A","medium incumbent","structure","free win","insights/trt-002.html","FILEPATH: trt/index.html || CURRENT: H2 headings cover general What to Verify Before Choosing a TRT Clinic guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'what to verify before choosing a TRT clinic' || EDIT: Add a dedicated H2 section titled 'What to Verify Before Choosing a TRT Clinic: Direct Comparison' with a 5-point evaluation table directly under the main H1.","new"
"what to verify before choosing a TRT clinic","What to Verify Before Choosing a TRT Clinic","theindustryguides.com","Perplexity","2026-08-05","https://trtplug.com, https://thetrtsource.com","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'what to verify before choosing a TRT clinic'.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general What to Verify Before Choosing a TRT Clinic guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'what to verify before choosing a TRT clinic' || EDIT: Add a dedicated H2 section titled 'What to Verify Before Choosing a TRT Clinic: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","new","trtplug.com (Domain Rating 42, 18 citations)","medium incumbent","clarity","page fix","insights/trt-002.html","FILEPATH: trt/index.html || CURRENT: H2 headings cover general What to Verify Before Choosing a TRT Clinic guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'what to verify before choosing a TRT clinic' || EDIT: Add a dedicated H2 section titled 'What to Verify Before Choosing a TRT Clinic: Direct Comparison' with a 5-point evaluation table directly under the main H1.","new"
"what to verify before choosing a TRT clinic","What to Verify Before Choosing a TRT Clinic","theindustryguides.com","Gemini 1.5 Flash","2026-08-05","","bulleted list with recommendations","Y","Y","Missing concise direct answer block and structured decision framework for 'what to verify before choosing a TRT clinic'.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general What to Verify Before Choosing a TRT Clinic guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'what to verify before choosing a TRT clinic' || EDIT: Add a dedicated H2 section titled 'What to Verify Before Choosing a TRT Clinic: Direct Comparison' with a 5-point evaluation table directly under the main H1.","2","new","N/A","medium incumbent","structure","page fix","insights/trt-002.html","FILEPATH: trt/index.html || CURRENT: H2 headings cover general What to Verify Before Choosing a TRT Clinic guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'what to verify before choosing a TRT clinic' || EDIT: Add a dedicated H2 section titled 'What to Verify Before Choosing a TRT Clinic: Direct Comparison' with a 5-point evaluation table directly under the main H1.","new"
